"docty","docdt","display_title","projectid","txturl","pdfurl","repnb","prdln","projn","id","preprim","tarl","stped","docyear","totalchar","mainsec","anyBB","anyBB_nopreprim","boardapprovaldate","curr_total_commitment","sector1"
"Project Appraisal Document","2001-05-26T00:00:00Z","India - Rajasthan Second District Primary Education Project","P055455","http://documents.worldbank.org/curated/en/916061468772800010/text/multi0page.txt",NA,"21955",NA,"IN-Rajasthan Second District Primary
            Education Project -- P055455","1346247",1,0,0,2001,235043,1,1,0,NA,NA,NA
"Project Appraisal Document","2003-04-30T00:00:00Z","Peru - Rural Education Project","P055232","http://documents.worldbank.org/curated/en/567681468758737628/text/23843.txt",NA,"23843","IBRD/IDA","PE-Rural Education Project -- P055232","2306235",1,0,0,2003,355103,0,1,0,NA,NA,NA
"Project Appraisal Document","2001-02-22T00:00:00Z","Georgia - Education System Realignment and Strengthening Program Project","P055173","http://documents.worldbank.org/curated/en/106801468749087426/text/multi0page.txt","http://documents.worldbank.org/curated/en/106801468749087426/pdf/multi0page.pdf","20952","IBRD/IDA","GE-Education System Realignment &
            Strengthening Program (Apl #1) -- P055173","1003125",0,0,0,2001,332452,0,0,0,NA,NA,NA
"Project Appraisal Document","2001-03-23T00:00:00Z","Madagascar - Community Development Fund Project","P055166","http://documents.worldbank.org/curated/en/714251468758692981/text/multi0page.txt",NA,"21507",NA,"MG-Community Development Project -- P055166","1089434",0,0,0,2001,147301,0,0,0,NA,NA,NA
"Project Appraisal Document","2000-08-07T00:00:00Z","Bulgaria - Education Modernization Project","P055158","http://documents.worldbank.org/curated/en/649531468768839910/text/multi-page.txt",NA,"20234",NA,"BG-Education Modernization Project -- P055158","692818",0,0,0,2000,280999,1,0,0,NA,NA,NA
"Project Appraisal Document","1999-07-09T00:00:00Z","Cote D'Ivoire - Pilot Literacy Project","P055073","http://documents.worldbank.org/curated/en/510911468749752351/text/multi-page.txt",NA,"19148",NA,"CI-Pilot Literacy Project -- P055073","439552",0,0,0,1999,162523,1,0,0,NA,NA,NA
"Project Appraisal Document","2002-07-31T00:00:00Z","Dominican Republic - Early Childhood Education Project","P054937","http://documents.worldbank.org/curated/en/935561468746805753/text/multi0page.txt",NA,"24558",NA,"DO-Early Childhood Education Project -- P054937","1977234",155,0,0,2002,271217,1,1,0,NA,NA,NA
"Project Appraisal Document","2002-07-31T00:00:00Z","República Dominicana - Proyecto de Educación en la Primera Infancia : República Dominicana - Proyecto de Educación Inicial","P054937","http://documents.worldbank.org/curated/en/904171468026418234/text/245580SPANISH01ialtasasion01PUBLIC1.txt","http://documents.worldbank.org/curated/en/904171468026418234/pdf/245580SPANISH01ialtasasion01PUBLIC1.pdf","24558",NA,"DO-Early Childhood Education Project -- P054937","7449815",0,0,0,2002,289683,1,0,0,NA,NA,NA
"Project Appraisal Document","2001-04-26T00:00:00Z","Latin America and Caribbean - Conservation and Sustainable Use of the Mesoamerican Barrier Reef System (MBRS) Project","P053349","http://documents.worldbank.org/curated/en/811071468770408948/text/multi0page.txt",NA,"21786",NA,"6C-Mesoamerican Barrier Reef System (Gef) -- P053349","1121199",0,0,0,2001,569139,0,0,0,NA,NA,NA
"Project Appraisal Document","2007-10-24T00:00:00Z","Colombia - Upper Secondary Education Project","P052608","http://documents.worldbank.org/curated/en/547181468031562188/text/39088.txt","http://documents.worldbank.org/curated/en/547181468031562188/pdf/39088.pdf","39088","IBRD/IDA","CO-Antioquia Upper Secondary Education -- P052608","8842335",0,0,0,2007,306870,1,0,0,NA,NA,NA
"Project Appraisal Document","2001-01-22T00:00:00Z","Ethiopia - Conservation and Sustainable Use of Medicinal Plants Project","P052315,P035147","http://documents.worldbank.org/curated/en/150521468751756638/text/multi-page.txt",NA,"21737",NA,"ET-Medicinal Plant Conserv Lil (Fy01) -- P052315,ET-Conservation And Sustainable Use Of
            Medicinal Plants Project -- P035147","888094",0,0,0,2001,139229,0,0,0,NA,NA,NA
"Project Appraisal Document","1998-04-21T00:00:00Z","Jordan - Training and Employment Support Project","P052297","http://documents.worldbank.org/curated/en/989981468774267355/text/multi-page.txt",NA,"17151",NA,"JO-Training & Empl. -- P052297","693606",0,0,0,1998,104257,1,0,0,NA,NA,NA
"Project Appraisal Document","1999-04-14T00:00:00Z","Togo - Pilot Social Fund Project","P052263","http://documents.worldbank.org/curated/en/568251468765015019/text/multi-page.txt",NA,"19152",NA,"TG-Pilot Social Fund Project -- P052263","440884",0,0,0,1999,75286,1,0,0,NA,NA,NA
